retweetCount,replyCount,likeCount,quoteCount,viewCount,bookmarkCount,tesla_close,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_neutral,tfidf_0,tfidf_1,tfidf_2,tfidf_3,tfidf_4,tfidf_5,tfidf_6,tfidf_7,tfidf_8,tfidf_9,embed_0,embed_1,embed_2,embed_3,embed_4,embed_5,embed_6,embed_7
697.0,1422.0,6392.0,400.0,0.0,238.0,2.173332929611206,0.4939,0.302,0.113,0.586,0.02102815379248859,0.0004529238755224939,0.001451379319735855,-0.005940952256321721,0.005948669863239897,0.005272512238850842,0.053253195825215156,-0.03916711246882213,0.007078307789959526,0.010548073647284847,-0.06923581,0.027844163,0.12327898,0.0139794275,0.051737927,-0.0919539,0.05744871,-0.006008424
46.0,83.0,321.0,17.0,0.0,22.0,2.173332929611206,0.8932,0.192,0.0,0.808,0.13630070088619592,0.4736993193889419,0.2520537345524469,-0.020341194834863224,0.07355579238829285,0.09956648410333563,-0.05297618251826623,-0.13589694494008683,0.012645098277412566,-0.047331152191274144,0.018403862,0.04760932,0.019696388,-0.008493058,0.007290233,-0.0439391,-0.047179308,0.0048952294
48.0,73.0,220.0,16.0,0.0,16.0,2.173332929611206,0.5994,0.247,0.149,0.605,0.14044882739173215,-0.009733350810578256,0.026086732188481614,-0.024474033805307837,0.006716968512062822,-0.008407483627717661,-0.02105496544788067,-0.015229994109427873,-0.012156452218707587,0.021489656422347105,-0.040252704,0.026027992,-0.026313966,0.0625174,0.052312236,0.008486087,0.05439355,0.020103356
39.0,41.0,251.0,34.0,0.0,44.0,2.173332929611206,0.7346,0.382,0.0,0.618,0.02495065615728522,0.008485540467436046,0.004610903342002848,-0.005674518897596972,-0.007422312595412104,-0.01179574247634144,-0.00751677559590396,-0.012687990143942814,-0.026884536780038867,0.009926891532599996,0.022092307,0.010306273,-0.032216277,0.0017394446,-0.020948222,0.051092748,0.0147352405,0.020154152
864.0,188.0,3293.0,146.0,0.0,197.0,1.838000059127808,0.8702,0.147,0.08,0.774,0.3087189878934722,0.407253582910778,0.3069814788180584,0.005680361170158584,0.009075090055146812,0.05183682597938109,-0.0018286155402265278,0.013836896932322207,-0.10232863815554562,0.04939970536731004,-0.028532999,-0.029447256,0.060678717,-0.054625962,0.057774056,0.06058291,0.076983504,0.00021670858
306.0,211.0,2136.0,95.0,0.0,89.0,1.8513330221176147,0.4574,0.047,0.0,0.953,0.14429239646494163,0.46262805241121585,0.27847175614996494,0.007763193379651603,0.07362444620342833,0.12337780138595124,-0.0386313265463602,-0.09359784267042146,0.025629306789772065,-0.05350410018742743,-0.012968615,-0.033137187,-0.005196106,0.027257703,-0.019297589,0.02001278,0.10626056,-0.12821382
7885.0,1233.0,106160.0,753.0,0.0,832.0,1.8513330221176147,0.8807,0.215,0.031,0.754,0.195024729657302,0.422692246323949,0.2598874800668514,0.04734999058661813,-0.1190878259023764,-0.009650829995233815,0.0016730497697600324,0.06389982064764944,-0.03617797559393238,-0.005307421044838908,0.062854216,0.0039222855,0.09218017,-0.047432203,-0.006719682,0.03140367,0.090424515,-0.023640728
222.0,281.0,1232.0,49.0,0.0,54.0,1.8513330221176147,0.9432,0.168,0.014,0.817,0.31185369205664304,0.2615302428326614,0.2226677687312631,-7.15956036560097e-05,-0.007387115920053759,0.038504274388795105,0.02281438587171138,-0.006037933208585984,-0.06229367812619006,0.04977381849502817,-0.054625373,0.02236784,0.082968816,-0.049562495,0.044844273,0.04450756,-0.034260042,0.050455138
42.0,21.0,46.0,4.0,0.0,6.0,1.9046670198440552,0.7579,0.289,0.0,0.711,0.04555666427406553,0.2943744774831564,0.19267366895142918,0.019152563428291424,-0.007858839277698303,0.014107100855069908,0.017366211781655237,-0.020492832999344218,-0.0692455942274778,0.03348015480397488,-0.034789708,-0.007395432,0.06853329,0.06400296,0.021990776,-0.07142935,-0.075449325,-0.015348587
10.0,54.0,253.0,17.0,0.0,8.0,1.9006669521331787,0.7485,0.761,0.0,0.239,0.06276077724629905,-0.046390116398799204,0.06721569567562888,-0.03202490515013857,0.004371996683908503,-0.016967947831143526,-0.09190540981942615,-0.002769876006054506,-0.06748290410572393,0.009429954758664753,-0.023841938,0.012803836,0.015561989,-0.017399663,0.09059773,0.018651944,0.04024227,-0.005518814
123.0,364.0,932.0,102.0,0.0,82.0,1.915333032608032,0.9214,0.174,0.027,0.799,0.27512608936653454,0.13169055983699796,0.13155537163649483,-0.013773669314659617,-0.0010654570645172948,-0.03098033885355613,-0.019499761049553706,-0.026725152171989373,-0.026983444754953984,0.07836643821159775,-0.022184493,0.039827637,0.06924939,-0.07177547,0.10865223,0.049086347,-0.07145271,0.017094485
40897.0,2288.0,157077.0,4379.0,0.0,2033.0,1.9040000438690183,0.988,0.181,0.015,0.804,0.31690718830648706,0.12823977428840225,0.07892047891830023,0.0017031460930774726,-0.08560019286790337,-0.09669264208858204,-0.02828846879003002,-0.011217572209597283,0.021772260751776698,0.06919572607349553,-0.011309566,-0.028784601,0.12753002,0.009970672,-0.04295736,0.03377656,0.03650589,0.026154177
186.0,100.0,558.0,34.0,0.0,16.0,1.9040000438690183,-0.7579,0.145,0.241,0.615,0.1931268788299688,0.2078397596981478,0.08104889842383216,-0.048015657108921715,0.05412502314143253,-0.03908958228155361,0.010515991277738536,0.013951067040464591,-0.06500020625558049,0.016715542666989113,0.049360882,0.07932882,0.011246704,0.0111866575,0.08619853,0.040450625,-0.057055254,0.026625805
149.0,101.0,632.0,63.0,0.0,50.0,1.9040000438690183,0.3147,0.163,0.179,0.658,0.33044478452379744,0.19596681711545946,0.19779207895567588,-0.02423715392786517,-0.003522539397967478,0.021407411800935635,-0.014172093406415865,-0.024081000614053775,-0.06511340150523778,0.036613433887912473,-0.02670411,0.026280247,0.08907235,-0.02499759,0.026137795,0.057782456,0.0022704492,0.0037560186
108.0,34.0,118.0,9.0,0.0,16.0,1.871999979019165,0.9066,0.206,0.036,0.758,0.21789982924975704,0.013071647586404427,0.02413550597791426,-0.015592680010973789,0.008900912283031399,-0.03441108524950008,0.0007628787296563469,-0.027258511379760382,-0.00010059008460958457,0.05891154548426734,-0.0491368,-0.040168364,0.055778183,-0.041295823,-0.040290486,0.002923373,-0.051092487,-0.07758916
112.0,64.0,134.0,7.0,0.0,7.0,1.7940000295639038,0.3182,0.04,0.0,0.96,0.18905061375319912,0.15266285987198686,-0.029193039402870297,0.07917419562620084,0.060529979707810315,0.03766828101976616,-0.09154864290700263,-0.18863535297113776,0.295282848421779,-0.16847400522222947,-0.0405608,-0.06118629,0.061279565,-0.0137491785,0.022446556,0.05398791,-0.03800023,0.020722331
63.0,31.0,314.0,17.0,0.0,15.0,1.8819999694824217,0.6616,0.155,0.0,0.845,0.044397556395802285,0.38930166099896296,0.14160089386242472,-0.04530893483555771,0.09891668578121167,-0.017736183381107617,0.016097536017783923,0.09841629685843152,-0.12640043323010505,-0.01404509635784627,-0.07983833,-0.08161463,-0.06398081,0.023082487,-0.09271755,-0.073664054,-0.038144253,0.013717845
147.0,73.0,184.0,103.0,0.0,14.0,1.8833329677581787,0.6757,0.137,0.046,0.818,0.18267319378757146,0.4063621452845384,0.23592001280272182,0.0009408852419729159,0.054836047417858684,0.12091663147364085,-0.0410487666602858,-0.10419320190220195,0.056500282556046895,-0.07557402121428063,-0.043551963,0.04629224,0.05414154,0.031914033,-0.060132567,-0.05790136,-0.12667336,0.013252625
78.0,41.0,293.0,4.0,0.0,14.0,1.519333004951477,0.0,0.0,0.0,1.0,0.057698366194387035,0.10657739820215613,-0.09546030519834538,-0.08178175626262947,0.1170293920942094,-0.09842400139008468,-0.003196383877683765,0.023738491083735724,0.005943662237963005,-0.014169299224720497,0.009609338,0.019397598,-0.0045265686,0.018050622,-0.038559776,-0.01468203,-0.11111755,0.06074356
36.0,44.0,108.0,53.0,0.0,10.0,1.519333004951477,-0.8027,0.047,0.238,0.715,0.14627809185996965,0.26935459901698855,0.22280873866178405,0.008323881908335815,-0.007364834600767964,0.045946367152568446,0.00979054825513559,0.012613687415273118,-0.07110476508424543,0.027764343367834836,-0.03476422,0.09548835,0.057081684,-0.012413746,0.03654386,-0.03216486,0.06027978,-0.03311699
172.0,121.0,7035.0,38.0,0.0,26.0,1.773332953453064,-0.1002,0.15,0.141,0.709,0.22671285882605507,0.25160457394858654,0.0559670308666078,-0.08446955334825869,0.14218688133262924,-0.09152359145208364,0.017752244914447213,0.07390120035655806,-0.06811145158826892,0.030793957603920324,0.01732263,0.031172395,0.056985702,0.054061808,-0.06138725,-0.04624048,0.02622693,0.047405288
350.0,150.0,6039.0,92.0,0.0,21.0,1.7873330116271973,-0.4939,0.0,0.132,0.868,0.027173794982352097,0.001453599075101911,0.004098433091592063,-0.01462765806019715,0.00047219075247087314,-0.014705187101185586,0.014034327439589605,-0.025447103811666257,0.016464543172302813,0.03239955828301747,0.004806411,0.13954994,0.00743439,0.036428217,0.049584445,0.034844216,-0.0015204237,0.007479891
8.0,6.0,11.0,4.0,0.0,2.0,1.7873330116271973,0.0,0.0,0.0,1.0,0.010635941229229834,0.003401705620799775,0.0030607119830427403,0.0015422943921779202,0.009457840345263865,-0.011637103987941053,0.01016679187367431,-0.006887074507473869,-0.010622411525393595,0.010300053371420334,-0.033341996,-0.029072374,-0.0087774135,-0.032437608,-0.015361627,0.030289851,0.046491683,0.012886635
