text,retweetCount,replyCount,likeCount,quoteCount,viewCount,timestamp,bookmarkCount,quote,text_length
RT @spaceshowertv: 【NEWS】SiM主催フェス「DEAD POP FESTiVAL」の模様を独占オンエア！DAY1: 9/10(土)21:00〜22:30、DAY2: 9/11(日)21:00〜22:30 #DPF2016 #SiM #スペシャ https:…,1137,0,0,0,,2016-07-10 22:43:53+00:00,0,,140
"RT @br_uk: Cristiano Ronaldo's header vs. #WAL

Contact at: 8ft 7in

Leap: 2ft 6in

In air: 0.7 seconds

Header speed: 44.3 mph https://t.c…",284,0,0,0,,2016-07-10 17:27:54+00:00,0,,140
"RT @Nadeshiko55JP: 【拡散希望】週刊文春がなぜ#青山繁晴さんのデマ記事を出したか？
#有田芳生と週刊文春の社長とは、同士と呼び合う友人関係だった！！
繋がってた！！
記事が出ることを知っていたかのように#有田芳生が真っ先にリツイートするのも納得！！ https…",218,0,0,0,,2016-06-29 12:49:28+00:00,0,,140
RT @Jackieee_Sierra: Pizza sounds really good rn,1,0,0,0,,2016-06-27 05:21:16+00:00,0,,48
RT @jesssickaaaa: I wanna get dolled uP,6,0,0,0,,2016-06-09 01:52:26+00:00,0,,39
RT @neuralink: We currently have over 20 of our latest generation implants that have passed the 5-year mark of accelerated aging on benchto…,1669,0,0,0,2,2023-06-07 01:20:40+00:00,0,,140
"RT @SpaceX: @Space_Station And on June 6, the Dragon 2 fleet's cumulative time in space surpassed the Space Shuttle fleet's time with 1,324…",3195,0,0,0,16,2023-06-07 21:41:50+00:00,0,,140
RT @teslaownersSV: I still hear tons of friends just coming on Twitter for information. You should consider sharing your voice and contribu…,982,0,0,0,49,2023-06-05 17:05:57+00:00,0,,140
"RT @Space_Station: Over 7,000 pounds of new experiments, new solar arrays, and other cargo has arrived at the station after the @SpaceX Dra…",2220,0,0,0,,2023-06-06 14:12:12+00:00,0,,140
"RT @SpaceX: Dragon separation confirmed; autonomous docking with the @space_station on Tuesday, June 6 at ~5:50 a.m. ET https://t.co/z0EHw0…",1776,0,0,0,29,2023-06-05 16:07:47+00:00,0,,140
RT @SpaceX: Liftoff! https://t.co/alTnpRy2Bu,2397,0,0,0,34,2023-06-05 16:07:41+00:00,0,,44
RT @SpaceX: Watch Falcon 9 launch Dragon to the @space_station → https://t.co/sV9VI89KrC  https://t.co/YP79rJW6Rn,1580,0,0,0,25,2023-06-05 16:06:51+00:00,0,,113
RT @Tesla: Beat previous record by &gt;8 seconds! https://t.co/BLtZV9WGYM,2932,0,0,0,22,2023-06-05 15:38:41+00:00,0,,73
"RT @TitterDaily: A number of political shows and podcasts have announced their intention to upload on Twitter alongside, or even in place o…",1613,0,0,0,4,2023-06-04 13:58:08+00:00,0,,140
RT @SpaceX: Falcon 9’s first stage has landed on the Just Read the Instructions droneship https://t.co/bg6OerL9IG,2717,0,0,0,11,2023-06-04 13:25:55+00:00,0,,113
RT @SpaceX: Falcon 9 launches 22 @Starlink satellites to orbit from Florida https://t.co/bD5gvBkmug,3526,0,0,0,11,2023-06-04 13:44:12+00:00,0,,99
"RT @TeslaCharging: 2,000 sites now live in North America, delivering up to 500 million miles per month 🎉 https://t.co/j3sWjLiHTl",1603,0,0,0,6,2023-06-03 20:42:59+00:00,0,,128
RT @tegmark: Dagan Shani has IMHO made the most important film of the year -  about the harsh #AI truth: https://t.co/Ajshj0MyQe,1496,0,0,0,4,2023-06-03 03:55:28+00:00,0,,128
"RT @Starlink: Starlink set an altitude and speed record for use in-flight during Starship’s first flight test, providing connectivity at 12…",2373,0,0,0,6,2023-06-02 20:18:45+00:00,0,,140
"RT @SawyerMerritt: BREAKING: @Tesla says ALL new Model 3 vehicles in the US now qualify for the full $7,500 EV tax credit, meaning the Mode…",3056,0,0,0,4,2023-06-02 20:45:32+00:00,0,,140
"RT @Starlink: Starlink on Igloolik Island in the northern territory of Nunavut, Canada 🛰️🇨🇦",2365,0,0,0,6,2023-06-03 00:51:14+00:00,0,,91
"RT @TheBabylonBee: The Babylon Bee + @elonmusk at Twitter HQ

TOMORROW. Premiering exclusively on Twitter. https://t.co/PG60FVCUOx",2442,0,0,0,9,2023-06-02 06:28:38+00:00,0,,130
"RT @SpaceX: Three years ago this week we launched our first human spaceflight mission to orbit. 

Thank you to @NASA, @inspiration4x, @Axio…",3231,0,0,0,6,2023-06-02 12:36:30+00:00,0,,140
"RT @Starlink: The space laser mesh is what enabled Starlink coverage for critical infrastructure, schools, and communities across the 169 i…",1395,0,0,0,5,2023-06-01 08:29:35+00:00,0,,140
"RT @DirtyTesLa: Powerwall is one of the best products I've ever purchased. Nothing but sunny blue skies for over a week, yet power is out f…",994,0,0,0,5,2023-06-01 21:43:52+00:00,0,,140
RT @Starlink: Starlink connecting schools in Peru 🛰️🇵🇪,2115,0,0,0,13,2023-06-07 09:37:04+00:00,0,,54
"RT @SpaceX: Falcon 9 launches 52 @Starlink satellites to orbit, completing this first stage booster’s 14th launch and landing https://t.co/…",1539,0,0,0,6,2023-06-01 08:29:26+00:00,0,,140
"RT @Starlink: Starlink satellites are equipped with optical space lasers (pew pew), which allow us to provide truly global coverage and ser…",1259,0,0,0,8,2023-06-01 08:29:15+00:00,0,,140
RT @teslaeurope: 🏴󠁧󠁢󠁥󠁮󠁧󠁿→ 🏴󠁧󠁢󠁳󠁣󠁴󠁿→ 🏴󠁧󠁢󠁥󠁮󠁧󠁿,1394,0,0,0,21,2023-05-29 18:48:29+00:00,0,,42
RT @SpaceX: Dragon and the Ax-2 astronauts are set to depart the @space_station tomorrow at 11:05 a.m. ET → https://t.co/gkJqIgAr6D https:/…,2122,0,0,0,4,2023-05-29 17:39:47+00:00,0,,140
RT @Starlink: A escala em que a Starlink está conectando aqueles que antes não estavam conectados ou tinham acesso não confiável à Internet…,1342,0,0,0,7,2023-05-29 17:13:08+00:00,0,,140
RT @Grimezsz: End Poem of minecraft is literally the best thing I've ever read?? So worth reading the whole thing: https://t.co/Uh1el5NqKc…,2048,0,0,0,5,2023-05-28 02:57:00+00:00,0,,139
RT @teslaeurope: Celebrated with 10k+ employees &amp; their families at Giga Berlin Family Day 🤘 https://t.co/QT3wivS3LG,1371,0,0,0,6,2023-05-27 18:54:58+00:00,0,,120
RT @SpaceX: Deployment of @Arabsat BADR-8 confirmed https://t.co/97VMx9aaD6,2444,0,0,0,3,2023-05-27 05:36:17+00:00,0,,75
RT @SpaceX: Falcon 9’s first stage has landed the Just Read the Instructions droneship https://t.co/lcwaoUj7Qf,1814,0,0,0,3,2023-05-27 04:41:31+00:00,0,,110
"RT @Tesla: Regenerative braking enables you to bring your Tesla to a complete stop without using the brake pedal, maximizing efficiency &amp; r…",1645,0,0,0,3,2023-05-27 15:48:06+00:00,0,,144
RT @SpaceX: Another step closer to Mars — the first flight test of a fully integrated Starship and Super Heavy rocket https://t.co/SpaHjQEL…,7222,0,0,0,4,2023-05-27 00:57:55+00:00,0,,140
RT @SpaceX: Liftoff! https://t.co/dPt27OtUxu,2180,0,0,0,3,2023-05-27 04:41:27+00:00,0,,44
RT @Ford: Coming soon: More locations to charge your Ford® electric vehicle. Thousands of them. @Tesla   https://t.co/FayrARjD3s https://t.…,4204,0,0,0,5,2023-05-26 02:47:00+00:00,0,,140
RT @Tesla: Thank you to Tesla owners for making Model Y the world’s bestselling car in Q1 this year!,2997,0,0,0,2,2023-05-27 00:01:06+00:00,0,,100
RT @jimfarley98: https://t.co/EbhWcgI9Gp,1566,0,0,0,6,2023-05-25 20:24:36+00:00,0,,40
RT @Starlink: Starlink helping to connect schools in Rwanda 🛰️🇷🇼,1711,0,0,0,12,2023-05-25 15:52:25+00:00,0,,64
"RT @Teslaconomics: AKA, don’t pull out. @elonmusk https://t.co/JlqUmL1eyp",1711,0,0,0,8,2023-05-25 06:19:02+00:00,0,,73
RT @DavidSacks: @GovRonDeSantis announced he’s running for president on Twitter. This was by far the biggest room ever held on social media…,3448,0,0,0,5,2023-05-24 23:56:17+00:00,0,,140
RT @teslaownersSV: Twitter is the town square of the people,1919,0,0,0,17,2023-05-24 04:20:54+00:00,0,,59
"RT @BillMelugin_: BREAKING: @FoxNews confirms Florida Governor @RonDeSantis will announce his 2024 Presidential run tomorrow night, 6pm ET…",3582,0,0,0,13,2023-05-23 18:10:34+00:00,0,,139
RT @SpaceX: Starlink for RVs can be used anywhere Starlink provides service and is ideal for camping and other activities in rural or remot…,2668,0,0,0,10,2023-05-23 16:36:21+00:00,0,,140
"RT @TeslaCharging: Excited to welcome Ford owners to thousands of Superchargers across North America next year⚡️✌️
https://t.co/giU8PKHexE",1786,0,0,0,2,2023-05-26 02:40:41+00:00,0,,138
RT @ehikian: fwiw you can post thirst pics on twitter too,730,0,0,0,9,2023-05-22 19:59:06+00:00,0,,57
