model,train_r2,test_r2,train_rmse,test_rmse,test_mae,test_accuracy
Extra Trees,0.9779960314343211,0.8691619643499813,0.14831049149084546,0.3724187580660925,0.25191169616154,92.04052098408104
Random Forest,0.9628809825411768,0.8649895094525012,0.1926280827864693,0.37831041483321387,0.24938923883546854,92.47467438494935
Gradient Boosting,0.9991841467325726,0.8572891207707323,0.028557974060925757,0.38894937754788744,0.25260854828390555,92.76410998552822
SVR (RBF),0.8479198644176551,0.818899201826946,0.3899039291718598,0.4381519230043719,0.31851845750883245,91.17221418234442
Linear Regression,0.7546804792676571,0.8069128049225242,0.49520773541009255,0.45241945971265596,0.3569671067284227,92.76410998552822
Ridge,0.7546707307401672,0.8066440412825864,0.49521757461540533,0.4527342180725505,0.35728721672689645,92.76410998552822
ElasticNet,0.6509129195694112,0.6748599722148602,0.5907289490034761,0.5870833438280766,0.47045265711314893,83.79160636758321
Lasso,0.6496233489545227,0.6660354092790566,0.5918190558846863,0.594996965816991,0.4773536602803845,84.9493487698987
